Rank,Title,Gross,Year
1,Avatar,2847379794,2009
2,Avengers: Endgame,2797501328,2019
3,Titanic,2201647264,1997
4,Star Wars: Episode VII - The Force Awakens,2069521700,2015
5,Avengers: Infinity War,2048359754,2018
6,Spider-Man: No Way Home,1891355848,2021
7,Jurassic World,1671537444,2015
8,The Lion King,1662899439,2019
9,The Avengers,1518815515,2012
10,Furious 7,1515341399,2015
11,Frozen II,1450026933,2019
12,Avengers: Age of Ultron,1402809540,2015
13,Black Panther,1347597973,2018
14,Harry Potter and the Deathly Hallows: Part 2,1342359942,2011
15,Star Wars: Episode VIII - The Last Jedi,1332698830,2017
16,Jurassic World: Fallen Kingdom,1310466296,2018
17,Frozen,1281508100,2013
18,Beauty and the Beast,1273576220,2017
19,Incredibles 2,1243089244,2018
20,The Fate of the Furious,1236005118,2017
